title,score,author,time,source
The Eighth Amendment which effectively banned abortion in the Republic of Ireland has been formally repealed,68.5k,alfosn,Tue Sep 18 20:08:20 2018 UTC,bbc.com
"Russian 'fake news' machine going mad, says French envoy to U.S.",27.8k,stone_dog,Tue Sep 18 15:30:01 2018 UTC,reuters.com
Truck filled with 157 rotting bodies is dumped behind a housing complex by Mexican officials after morgues ran out of room amid an epidemic of violence,4425,Olmectron,Tue Sep 18 13:36:04 2018 UTC,dailymail.co.uk
Pyongyang: North and South Korean Leaders Reportedly Preparing to Declare End of Korean War,1754,PoliticsBeepBooper,Tue Sep 18 16:49:51 2018 UTC,democracynow.org
South Africa’s highest court decriminalises marijuana use.,45.3k,00Jim,Tue Sep 18 08:32:03 2018 UTC,m.news24.com
Russian police say gay people aren't protected against hate speech because they're ‘not a social group’,1233,leenur,Tue Sep 18 16:28:22 2018 UTC,amp.meduza.io
Mysterious great white shark lair discovered in Pacific Ocean,2563,loki2002,Tue Sep 18 12:17:59 2018 UTC,sfgate.com
Mexico stops hotel project at sea turtle nesting beach,315,savethedolphins8616,Tue Sep 18 23:08:58 2018 UTC,cnbc.com
Russia blames Israel after plane shot down,1488,LegalSentence,Tue Sep 18 14:41:33 2018 UTC,bbc.com
Lithuanian officials said Tuesday Walmart will no longer sell clothing featuring Soviet Union logos after Baltic countries asked the retail giant to remove USSR-emblazoned apparel.,713,maxwellhill,Tue Sep 18 15:18:02 2018 UTC,thehill.com
"Brexiters have teamed up with prominent right-wing American think tanks to launch a blueprint for a free trade deal between the U.S. and the U.K., which would include gutting environmental regulations and opening up Britain’s National Health Service to foreign competition.",679,maxwellhill,Tue Sep 18 15:19:53 2018 UTC,thinkprogress.org
Venezuelans outraged by Maduro's steak feast at Salt Bae restaurant,1168,attooree,Tue Sep 18 11:28:51 2018 UTC,reuters.com
"China hits back at Trump, adds tariffs to $60B of U.S.-made products",577,JustinHawleyz,Tue Sep 18 15:13:42 2018 UTC,nbcnews.com
SpaceX will fly Japanese billionaire Yusaku Maezawa as the first ever private tourist to the moon,45.5k,almatean,Tue Sep 18 01:42:02 2018 UTC,cnbc.com
"Loot boxes are 'psychologically akin to gambling', according to Australian Environment and Communications References Committee Study",•,NeinKaiser,Wed Sep 19 01:46:10 2018 UTC,pcgamer.com
"Trump, without evidence, accuses China of trying to sway US election",93,thebloodyaugustABC,Wed Sep 19 00:28:26 2018 UTC,channelnewsasia.com
Woman Rides Bicycle To 183.9 MPH — A New World Record,182,BEARlovesCOOKIE,Tue Sep 18 20:23:51 2018 UTC,npr.org
